Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Pfr_ID,AV,Team,Round,Pick
Plaxico Burress,WR,77,231,4.59,33,,115,,,2000,BurrPl00,25,Pittsburgh Steelers,1,8
Kwame Cavil,WR,74,208,4.54,39.5,,118,,,2000,CaviKw00,0,,,
Chris Cole,WR,72,191,4.37,37.5,,125,6.76,4.09,2000,ColeCh00,1,Denver Broncos,3,70
Chris Coleman,WR,72,211,4.61,32.5,,110,6.79,4.1,2000,ColeCh01,0,,,
Laveranues Coles,WR,71,192,4.41,34,,115,6.89,4.39,2000,ColeLa00,26,New York Jets,3,78
Chris Daniels,WR,75,217,4.74,33,,115,7.2,4.24,2000,,0,,,
Brandon Daniels,WR,70,211,4.54,,,,,,2000,,0,,,
JaJuan Dawson,WR,73,199,4.55,34,,117,6.96,4.16,2000,DawsJa00,5,Cleveland Browns,3,79
Ron Dugans,WR,73,206,4.58,,,117,,,2000,DugaRo00,6,Cincinnati Bengals,3,66
Matt Farmer,WR,72,190,4.51,33,,108,6.63,3.94,2000,,0,,,
Danny Farmer,WR,75,217,4.58,,,,,,2000,FarmDa00,5,Pittsburgh Steelers,4,103
Chafie Fields,WR,73,196,4.43,,,,,,2000,,0,,,
Larry Foster,WR,70,198,4.55,37,,121,6.88,4.06,2000,FostLa00,5,,,
Trevor Gaylor,WR,75,199,4.56,37.5,,121,7.03,4.29,2000,GaylTr00,7,San Diego Chargers,4,111
Sherrod Gideon,WR,71,173,4.66,,,,,,2000,,0,,,
Ricky Hall,WR,74,206,4.52,,,,,,2000,,0,,,
Joey Hamilton,WR,73,201,4.54,36,,116,7.57,4.41,2000,,0,,,
Windrell Hayes,WR,71,204,4.5,,,,7.33,4.18,2000,HayeWi00,1,New York Jets,5,143
Leroy Hodge,WR,73,215,4.54,34.5,,116,7.14,4.21,2000,,0,,,
Trevor Insley,WR,72,192,4.7,,,,,,2000,InslTr00,2,,,
Darrell Jackson,WR,72,197,4.56,,,,,,2000,JackDa00,24,Seattle Seahawks,3,80
Dwaune Jones,WR,72,191,4.66,,,,,,2000,,0,,,
Marcus Knight,WR,73,180,4.72,28.5,,106,7.11,4.38,2000,KnigMa00,0,,,
Charles Lee,WR,73,202,4.56,35.5,,125,7.3,4.25,2000,LeexCh00,1,Green Bay Packers,7,242
Anthony Lucas,WR,75,194,4.53,35,,121,,,2000,,0,,,
Alton Lusk,WR,74,182,4.61,36.5,,122,7.16,4.26,2000,,0,,,
Wendell Montgomery,WR,75,203,4.81,35.5,,117,7.01,4.24,2000,,0,,,
Scottie Montgomery,WR,72,196,4.57,36,,117,7.16,4.11,2000,MontSc00,2,,,
Muneer Moore,WR,73,201,4.52,37.5,,129,6.91,4.09,2000,,0,,,
Sylvester Morris,WR,75,216,4.6,34.5,,119,7.06,4.17,2000,MorrSy00,6,Kansas City Chiefs,1,21
Dennis Northcutt,WR,70,175,4.43,37.5,,123,6.96,4.04,2000,NortDe00,13,Cleveland Browns,2,32
Cory Peterson,WR,74,195,4.75,32.5,,114,,,2000,,0,,,
Mareno Philyaw,WR,74,205,4.66,39.5,,129,6.93,4.13,2000,PhilMa20,0,Atlanta Falcons,6,172
Todd Pinkston,WR,74,169,4.45,,,,,,2000,PinkTo00,16,Philadelphia Eagles,2,36
Jerry Porter,WR,74,221,4.48,,,,,,2000,PortJe00,10,Oakland Raiders,2,47
Gari Scott,WR,72,194,4.59,33.5,,119,,,2000,ScotGa00,0,Philadelphia Eagles,4,99
Kofi Shuck,WR,74,180,4.66,33,,119,7.18,4.1,2000,,0,,,
R. Jay Soward,WR,69,177,4.34,35,,124,,,2000,SowaR.00,2,Jacksonville Jaguars,1,29
Quinton Spotwood,WR,71,184,4.55,33.5,,123,,,2000,,0,,,
Travis Taylor,WR,73,199,4.43,37,,118,7.15,,2000,TaylTr01,16,Baltimore Ravens,1,10
Troy Walters,WR,66,171,4.55,32.5,,106,6.61,3.84,2000,WaltTr00,2,Minnesota Vikings,5,165
Peter Warrick,WR,71,194,4.58,,,,,,2000,WarrPe00,16,Cincinnati Bengals,1,4
Dez White,WR,73,218,4.62,37.5,,124,6.91,4.09,2000,WhitDe00,10,Chicago Bears,3,69
James Williams,WR,71,180,4.59,36,,123,7.22,4.16,2000,WillJa01,4,Seattle Seahawks,6,175
Bashir Yamini,WR,75,191,4.53,33,,130,7.09,4.18,2000,YamiBa20,0,,,
Scotty Anderson,WR,74,184,4.57,34.5,,115,,,2001,AndeSc00,8,Detroit Lions,5,148
Alex Bannister,WR,77,201,4.47,30.5,,110,,,2001,BannAl00,1,Seattle Seahawks,5,140
Eddie Berlin,WR,71,191,4.43,39.5,,122,6.78,4.08,2001,BerlEd00,1,Tennessee Titans,5,159
Corey Brown,WR,72,202,4.63,39.5,,126,,,2001,,0,,,
Adrian Burnette,WR,70,191,4.63,,,,,,2001,,0,,,
John Capel,WR,71,177,4.39,36.5,,126,,,2001,,0,,,
Chris Chambers,WR,72,210,4.33,45,,134,,4,2001,ChamCh00,26,Miami Dolphins,2,52
Kenny Clark,WR,73,225,4.59,35.5,,121,,,2001,ClarKe22,0,,,
Ronney Daniels,WR,73,212,4.61,34.5,,118,,,2001,,0,,,
Robert Ferguson,WR,73,205,4.48,36.5,,120,7.24,4.07,2001,FergRo00,9,Green Bay Packers,2,41
Richmond Flowers,WR,71,195,4.55,35.5,,114,6.98,3.96,2001,,0,,,
Rod Gardner,WR,74,219,4.48,,,,,,2001,GardRo00,20,Washington Redskins,1,15
Reggie Germany,WR,73,183,4.39,,,,,,2001,GermRe00,2,Buffalo Bills,7,214
Javon Green,WR,73,211,4.73,35.5,,113,7.41,4.34,2001,,0,,,
Latef Grim,WR,71,188,4.6,,,111,7.27,4.33,2001,,0,,,
Daniel Guy,WR,74,211,4.61,38.5,,125,7.35,4.29,2001,,0,,,
Margin Hooks,WR,71,191,4.5,36,,116,7.08,4.18,2001,,0,,,
Khori Ivy,WR,74,195,4.64,,,,,,2001,,0,,,
Arnold Jackson,WR,68,167,4.48,41,,127,7.42,4.11,2001,JackAr00,0,,,
Cedric James,WR,74,204,4.49,43,,134,,,2001,JameCe00,0,Minnesota Vikings,4,131
Sly Johnson,WR,69,181,4.61,35.5,,115,,,2001,,0,,,
Chad Johnson,WR,73,192,4.57,33,,108,7.51,4.14,2001,JohnCh01,24,Cincinnati Bengals,2,36
Kevin Kasper,WR,72,199,4.42,43.5,,126,6.56,3.73,2001,KaspKe00,2,Denver Broncos,6,190
Robert Kilow,WR,70,171,4.44,,,,,,2001,,0,,,
Andre King,WR,72,199,4.61,,,,,,2001,KingAn00,2,Cleveland Browns,7,245
Dave Klemic,WR,71,188,4.37,36.5,,116,,,2001,,0,,,
David Martin,WR,76,242,4.76,,,,,,2001,MartDa00,3,Green Bay Packers,6,198
Justin McCareins,WR,74,209,4.51,41,,129,7.06,3.99,2001,McCaJu00,14,Tennessee Titans,4,124
Quentin McCord,WR,70,191,4.48,36.5,,112,7.17,4.18,2001,McCoQu00,5,Atlanta Falcons,7,236
Shawn Mills,WR,72,180,4.51,34.5,,116,7.12,4.15,2001,,0,,,
Snoop Minnis,WR,73,171,4.57,37.5,,115,7.06,4.07,2001,MinnMa00,5,Kansas City Chiefs,3,77
Freddie Mitchell,WR,71,185,4.46,39.5,,120,6.95,4.06,2001,MitcFr00,10,Philadelphia Eagles,1,25
Quincy Morgan,WR,73,211,4.48,,,,,,2001,MorgQu00,17,Cleveland Browns,2,33
Santana Moss,WR,70,184,4.31,,,,,,2001,MossSa00,18,New York Jets,1,16
Steve Neal,WR,73,190,4.59,36,,119,7.18,4.19,2001,NealSt20,19,,,
Bobby Newcombe,WR,70,195,4.53,37,,117,6.86,3.98,2001,,0,Arizona Cardinals,6,166
Nate Poole,WR,73,198,4.79,32.5,,112,7.26,4.22,2001,PoolNa01,3,,,
Ken-Yon Rambo,WR,73,196,4.34,,,,,,2001,RambKe00,1,Oakland Raiders,7,229
Koren Robinson,WR,73,211,4.61,,,,,,2001,RobiKo00,25,Seattle Seahawks,1,9
Steve Smith,WR,69,184,4.41,38.5,,121,7.44,4.25,2001,SmitSt01,24,Carolina Panthers,3,74
Vinny Sutherland,WR,69,192,4.48,,,,,,2001,SuthVi00,0,Atlanta Falcons,5,136
Chris Taylor,WR,71,183,4.4,35.5,,115,6.81,3.93,2001,,0,Pittsburgh Steelers,7,218
David Terrell,WR,75,213,4.43,,,,,,2001,TerrDa00,8,Chicago Bears,1,8
Reggie Wayne,WR,72,198,4.45,,,,,,2001,WaynRe00,20,Indianapolis Colts,1,30
Marcus Williams,WR,77,230,4.56,41,,130,7.37,4.2,2001,WillMa21,0,,,
Cedrick Wilson,WR,70,179,4.48,38,,123,,,2001,WilsCe00,7,San Francisco 49ers,6,169
Atrews Bell,WR,71,218,4.52,,,,,,2002,,0,,,
Deion Branch,WR,69,191,4.47,36,,117,6.71,3.78,2002,BranDe00,17,New England Patriots,2,65
Antonio Bryant,WR,73,188,4.57,37,,121,,,2002,BryaAn00,14,Dallas Cowboys,2,63
Reche Caldwell,WR,72,194,4.53,41.5,,130,7,4.1,2002,CaldRe00,8,San Diego Chargers,2,48
Kelly Campbell,WR,70,171,4.48,,,,,,2002,CampKe00,12,,,
Tim Carter,WR,72,190,4.32,39,,126,6.68,3.93,2002,CartTi00,4,New York Giants,2,46
Terry Charles,WR,75,207,4.52,36.5,,122,7.02,4.09,2002,,0,,,
Andre' Davis,WR,73,194,4.42,39.5,,123,6.77,4.1,2002,DaviAn01,13,Cleveland Browns,2,47
Antwaan Randle El,WR,70,191,4.49,,,,,,2002,RandAn00,18,Pittsburgh Steelers,2,62
R.J. English,WR,74,211,4.55,37.5,,121,7.03,4.11,2002,,0,,,
Jabar Gaffney,WR,73,193,4.56,,,,6.87,4.06,2002,GaffJa00,13,Houston Texans,2,33
David Givens,WR,72,217,4.56,40.5,,126,6.82,4.13,2002,GiveDa00,15,New England Patriots,7,253
Herb Haygood,WR,71,193,4.45,33,,114,6.65,4.26,2002,HaygHe20,0,Denver Broncos,5,144
Kahlil Hill,WR,74,200,4.65,35,,,,,2002,HillKa20,0,Atlanta Falcons,6,184
Javin Hunter,WR,71,186,4.47,41,,129,6.84,4.04,2002,HuntJa00,0,Baltimore Ravens,6,206
Ron Johnson,WR,74,225,4.7,34.5,,118,7.12,4.02,2002,JohnRo03,1,Baltimore Ravens,4,123
Emmett Johnson,WR,74,205,4.45,39,,122,7.15,4.1,2002,,0,,,
Daryl Jones,WR,69,180,4.35,,,,,,2002,JoneDa02,1,New York Giants,7,226
Ashley Lelie,WR,75,197,4.49,,,,,,2002,LeliAs00,22,Denver Broncos,1,19
Devin Lewis,WR,74,205,4.54,38.5,,111,,,2002,,0,,,
Aaron Lockett,WR,67,155,4.31,35,,119,6.84,4.11,2002,,0,Tampa Bay Buccaneers,7,254
Lee Mays,WR,73,190,4.55,32.5,,119,7.08,4.17,2002,MaysLe00,1,Pittsburgh Steelers,6,202
Jason McAddley,WR,73,203,4.47,36.5,,123,6.83,4.09,2002,McAdJa00,3,Arizona Cardinals,5,149
Freddie Milons,WR,70,190,4.51,33.5,,117,6.84,,2002,,0,Philadelphia Eagles,5,162
Kendall Newson,WR,74,200,4.69,33.5,,117,6.87,4.27,2002,NewsKe00,1,Jacksonville Jaguars,7,222
Donnie O'Neal,WR,73,191,4.52,38,,126,6.9,,2002,,0,,,
Brian Poli-Dixon,WR,77,210,4.48,,,,,,2002,,0,,,
Pete Rebstock,WR,69,190,4.5,,,,,,2002,,0,,,
Josh Reed,WR,70,210,4.54,,,,,,2002,ReedJo01,12,Buffalo Bills,2,36
Cliff Russell,WR,71,185,4.36,,,,,,2002,RussCl00,0,Washington Redskins,3,87
Jake Schifino,WR,73,200,4.49,,,,,,2002,SchiJa20,0,Tennessee Titans,5,151
Donte' Stallworth,WR,72,197,4.22,,,,,,2002,StalDo00,19,New Orleans Saints,1,13
Lawrence Story,WR,77,205,4.63,33.5,,114,7.06,4.16,2002,,0,,,
T.C. Taylor,WR,76,219,4.69,31,,114,7.59,4.25,2002,,0,,,
Ryan Tolhurst,WR,71,196,4.49,38,,123,6.65,3.88,2002,,0,,,
Javon Walker,WR,75,210,4.38,39.5,,128,6.86,4.05,2002,WalkJa00,25,Green Bay Packers,1,20
Marquise Walker,WR,74,219,4.63,,,,,,2002,,0,,,
Sam Aiken,WR,74,209,4.59,39.5,,121,7.22,,2003,AikeSa00,3,Buffalo Bills,4,127
Paul Arnold,WR,73,213,4.53,40.5,,131,6.84,4.11,2003,,0,,,
Arnaz Battle,WR,73,217,4.58,35,,117,6.74,4.06,2003,BattAr00,5,San Francisco 49ers,6,197
Ronald Bellamy,WR,72,208,4.57,30.5,,119,7.38,4.1,2003,BellRo00,0,,,
Anquan Boldin,WR,73,216,4.72,33.5,,114,7.35,4.33,2003,BoldAn00,25,Arizona Cardinals,2,54
Jamal Burke,WR,72,204,4.56,36,,119,7.2,4.13,2003,,0,,,
Nate Burleson,WR,72,197,4.51,42.5,,126,6.96,4.16,2003,BurlNa00,19,Minnesota Vikings,3,71
Mike Bush,WR,77,198,4.7,,,115,7.42,4.28,2003,,0,,,
Tyrone Calico,WR,76,223,4.34,38,,127,6.73,4.26,2003,CaliTy00,5,Tennessee Titans,2,60
Kevin Curtis,WR,71,186,4.42,36,,122,6.76,3.99,2003,CurtKe00,10,St. Louis Rams,3,74
LaTarence Dunbar,WR,71,196,4.52,34,,122,7.41,4.35,2003,DunbLa20,0,Atlanta Falcons,6,196
Terrence Edwards,WR,72,176,4.5,,,,,,2003,EdwaTe00,0,,,
Doug Gabriel,WR,74,213,4.52,35.5,,116,7.05,4.16,2003,GabrDo00,11,Oakland Raiders,5,167
Justin Gage,WR,76,217,4.45,,,,,,2003,GageJu00,7,Chicago Bears,5,143
Talman Gardner,WR,73,205,4.44,34.5,,116,7.54,4.43,2003,GardTa00,0,New Orleans Saints,7,231
Ryan Hoag,WR,74,200,4.51,38,,125,6.72,3.95,2003,,0,,,
Keenan Howry,WR,70,178,4.56,31.5,,114,7.34,4.28,2003,HowrKe00,0,Minnesota Vikings,7,221
Taylor Jacobs,WR,72,205,4.42,,,,,,2003,JacoTa00,2,Washington Redskins,2,44
Teyo Johnson,WR,77,247,4.61,33.5,,,,,2003,JohnTe00,2,Oakland Raiders,2,63
Bryant Johnson,WR,74,214,4.57,,,,,,2003,JohnBr02,10,Arizona Cardinals,1,17
Bethel Johnson,WR,71,201,4.38,38.5,,127,,,2003,JohnBe00,7,New England Patriots,2,45
Andre Johnson,WR,74,230,4.41,39,,132,,,2003,JohnAn02,26,Houston Texans,1,3
Kareem Kelly,WR,72,186,4.42,35,,125,7.51,4.24,2003,,0,New Orleans Saints,6,203
Brandon Lloyd,WR,72,184,4.62,36,,,,,2003,LloyBr00,12,San Francisco 49ers,4,124
Adrian Madise,WR,71,215,4.49,32,,119,7.32,4.26,2003,MadiAd00,0,Denver Broncos,5,158
Reno Mahe,WR,69,198,4.68,32,,109,7.27,4.23,2003,MaheRe00,3,,,
Shaun McDonald,WR,68,169,4.43,,,,,,2003,McDoSh00,9,St. Louis Rams,4,106
Billy McMullen,WR,76,210,4.61,,,,,,2003,McMuBi00,2,Philadelphia Eagles,3,95
Cecil Moore,WR,73,210,4.6,38,,124,7.03,4.23,2003,,0,,,
Carl Morris,WR,75,214,4.65,33.5,,116,6.93,4.09,2003,,0,,,
Kassim Osgood,WR,77,208,4.68,31,,122,7.19,4.44,2003,OsgoKa00,7,,,
Charles Rogers,WR,74,202,4.4,,,,,,2003,RogeCh01,4,Detroit Lions,1,2
Antwone Savage,WR,71,192,4.47,32,,118,7.37,4.37,2003,,0,,,
Dan Stricker,WR,74,203,4.68,39,,122,6.91,4.16,2003,,0,,,
J.R. Tolver,WR,73,202,4.67,36,,119,6.99,4.23,2003,,0,Miami Dolphins,5,169
Chris Vance,WR,73,189,4.55,,,,,,2003,,0,,,
Bobby Wade,WR,70,193,4.66,34.5,,115,7.01,4.11,2003,WadeBo00,6,Chicago Bears,5,139
Kelley Washington,WR,74,223,4.42,,,,,,2003,WashKe00,7,Cincinnati Bengals,3,65
Walter Young,WR,77,214,4.54,39,,121,6.9,4.25,2003,YounWa00,0,Carolina Panthers,7,226
Derek Abney,WR,69,179,4.58,33.5,,120,6.89,4.08,2004,,0,Baltimore Ravens,7,244
Kevin Beard,WR,72,180,4.46,31,,113,,,2004,,0,,,
Bernard Berrian,WR,73,183,4.58,38,,128,7.34,4.18,2004,BerrBe00,10,Chicago Bears,3,78
Maurice Brown,WR,72,219,4.56,33,,117,7.38,4.21,2004,,0,,,
Drew Carter,WR,76,204,4.36,,,,,,2004,CartDr00,8,Carolina Panthers,5,163
Michael Clayton,WR,75,209,4.67,32.5,,116,6.77,4.09,2004,ClayMi00,15,Tampa Bay Buccaneers,1,15
Keary Colbert,WR,73,207,4.6,30,,,,,2004,ColbKe00,10,Carolina Panthers,2,62
Chris Collins,WR,73,201,4.69,35,,112,,,2004,,0,,,
Terrance Copper,WR,72,208,4.53,35.5,,116,7.34,4.31,2004,CoppTe00,5,,,
Jerricho Cotchery,WR,72,212,4.54,36,,121,6.93,3.91,2004,CotcJe00,14,New York Jets,4,108
Lane Danielson,WR,72,197,4.6,31,,117,6.72,3.94,2004,,0,,,
Devard Darling,WR,73,213,4.52,37,,129,,,2004,DarlDe00,0,Baltimore Ravens,3,82
Lee Evans,WR,71,197,4.39,34.5,,120,,,2004,EvanLe00,28,Buffalo Bills,1,13
Larry Fitzgerald,WR,75,225,4.48,,,,,,2004,FitzLa00,24,Arizona Cardinals,1,3
Carlos Francis,WR,69,198,4.33,38.5,,114,6.97,4.06,2004,FranCa20,0,Oakland Raiders,4,99
D.J. Hackett,WR,74,199,4.53,41,,131,6.79,4.08,2004,HackD.00,13,Seattle Seahawks,5,157
Derrick Hamilton,WR,75,196,4.54,,,,,,2004,HamiDe20,0,San Francisco 49ers,3,77
Devery Henderson,WR,71,198,4.41,,,,,,2004,HendDe00,9,New Orleans Saints,2,50
Michael Jenkins,WR,76,218,4.4,,,,,,2004,JenkMi00,11,Atlanta Falcons,1,29
Justin Jenkins,WR,71,213,4.6,35,,123,7.47,4.16,2004,JenkJu00,0,,,
Tony Johnson,WR,71,202,4.61,32.5,,118,7.16,4.16,2004,,0,,,
B.J. Johnson,WR,71,207,4.5,,,,,,2004,,0,,,
Kelvin Kight,WR,72,213,4.56,34,,109,7.18,4.24,2004,KighKe00,0,,,
Ryan Krause,WR,74,244,4.6,33.5,18,119,6.78,4.16,2004,KrauRy00,1,San Diego Chargers,6,169
Triandos Luke,WR,71,199,4.51,38,,124,7.06,4.17,2004,LukeTr00,0,Denver Broncos,6,171
Maurice Mann,WR,73,191,4.57,34,,118,,,2004,MannMa00,0,Cincinnati Bengals,5,149
Tim Manning,WR,71,179,4.59,28.5,,111,7.24,4.27,2004,,0,,,
Derek McCoy,WR,75,210,4.73,38,,128,7.1,4.09,2004,,0,,,
Jeris McIntyre,WR,71,203,4.46,29,,112,6.98,4.08,2004,,0,Kansas City Chiefs,6,195
Clarence Moore,WR,78,211,4.55,34,,122,6.84,4.16,2004,MoorCl00,2,Baltimore Ravens,6,199
Johnnie Morant,WR,76,229,4.51,41,,130,7.34,4.22,2004,MoraJo00,0,Oakland Raiders,5,134
James Newson,WR,73,213,4.76,31.5,,116,7.41,,2004,,0,,,
Samie Parker,WR,70,179,4.39,36,,,,,2004,ParkSa00,12,Kansas City Chiefs,4,105
Carlos Perez,WR,71,203,4.78,38,,118,,4.45,2004,,0,,,
P.K. Sam,WR,75,210,4.54,34.5,,,7.04,,2004,SamxP.20,0,New England Patriots,5,164
Jonathan Smith,WR,70,194,4.78,32.5,,114,,4.35,2004,SmitJo00,2,Buffalo Bills,7,214
John Standeford,WR,75,197,4.6,32.5,,113,6.9,4.08,2004,StanJo00,2,,,
Kendrick Starling,WR,73,193,4.49,31.5,,119,6.88,3.87,2004,StarKe21,0,,,
Jamaar Taylor,WR,73,197,4.46,,,,,,2004,TaylJa00,1,New York Giants,6,168
Sloan Thomas,WR,73,203,4.5,,,,,,2004,ThomSl00,0,Houston Texans,7,211
Andrae Thurman,WR,71,192,4.54,34.5,,121,7.31,4.3,2004,ThurAn00,1,,,
Darius Watts,WR,73,188,4.5,,,,,,2004,WattDa00,4,Denver Broncos,2,54
Huey Whittaker,WR,76,234,4.62,37,,121,7.06,4.13,2004,,0,,,
Ernest Wilford,WR,76,226,4.79,40.5,,130,,4.17,2004,WilfEr00,15,Jacksonville Jaguars,4,120
Reggie Williams,WR,76,229,4.56,,,,,,2004,WillRe00,14,Jacksonville Jaguars,1,9
Roy Williams,WR,74,212,4.48,,,,,,2004,WillRo04,24,Detroit Lions,1,7
George Wilson,WR,72,213,4.63,35,,120,7.07,3.98,2004,WilsGe01,6,,,
Rashaun Woods,WR,74,202,4.47,39,,125,6.93,3.97,2004,WoodRa00,1,San Francisco 49ers,1,31
Carlos Wright,WR,73,203,4.65,34,,122,7.12,4.31,2004,,0,,,
Kevin Youngblood,WR,76,213,4.64,34,,,,,2004,YounKe00,0,,,
Mark Bradley,WR,73,201,4.37,39.5,,128,6.96,3.98,2005,BradMa00,5,Chicago Bears,2,39
Craig Bragg,WR,73,196,4.46,36,,,,,2005,,0,Green Bay Packers,6,195
Reggie Brown,WR,74,196,4.45,41.5,,128,6.99,3.94,2005,BrowRe01,18,Philadelphia Eagles,2,35
Mark Clayton,WR,70,193,4.41,36.5,,118,6.95,4.07,2005,ClayMa01,16,Baltimore Ravens,1,22
Airese Currie,WR,70,186,4.49,38,,125,7.05,4.07,2005,CurrAi00,0,Chicago Bears,5,140
Josh Davis,WR,72,191,4.52,37.5,,118,7.19,4.22,2005,,0,,,
Braylon Edwards,WR,75,211,4.45,,,,,,2005,EdwaBr00,23,Cleveland Browns,1,3
Charles Frederick,WR,71,194,4.78,33,,108,7.39,4.25,2005,,0,,,
Fred Gibson,WR,76,196,4.55,38.5,,126,7.03,4.1,2005,,0,Pittsburgh Steelers,4,131
Howard Gilmore,WR,72,194,4.71,36,,113,7.56,4.44,2005,,0,,,
Reggie Harrell,WR,75,214,4.58,35,,115,7.42,4.11,2005,,0,,,
Chris Henry,WR,76,197,4.5,,,,,,2005,HenrCh00,14,Cincinnati Bengals,3,83
Efrem Hill,WR,72,179,4.58,37.5,,124,7.42,4.07,2005,,0,,,
Vincent Jackson,WR,77,241,4.46,39,,,,,2005,JackVi00,15,San Diego Chargers,2,61
Brandon Jones,WR,73,210,4.42,37,,114,7.03,4.08,2005,JoneBr02,8,Tennessee Titans,3,96
Chase Lyman,WR,75,217,4.5,,,,,,2005,,0,New Orleans Saints,4,118
Tony Madison,WR,73,213,4.52,39,,121,7.13,4.3,2005,,0,,,
Tommy Manus,WR,76,222,4.55,38,,120,7.2,4.34,2005,,0,,,
Rasheed Marshall,WR,72,185,4.51,38,,121,6.81,3.95,2005,MarsRa00,0,San Francisco 49ers,5,174
Jerome Mathis,WR,71,181,4.28,35.5,,123,,,2005,MathJe00,4,Houston Texans,4,114
Leron McCoy,WR,73,211,4.4,37,,120,7.19,4.21,2005,McCoLe00,1,Arizona Cardinals,7,226
Lance Moore,WR,69,177,4.52,,,,,,2005,MoorLa00,12,,,
Terrence Murphy,WR,73,202,4.39,,,,,,2005,MurpTe00,0,Green Bay Packers,2,58
Chad Owens,WR,67,183,4.62,37,,116,6.7,3.94,2005,OwenCh00,0,Jacksonville Jaguars,6,185
Roscoe Parrish,WR,70,168,4.37,,,,,,2005,ParrRo00,9,Buffalo Bills,2,55
Tab Perry,WR,74,229,4.46,34,,116,7,,2005,PerrTa00,1,Cincinnati Bengals,6,190
Jamaica Rector,WR,70,186,4.47,36.5,,122,6.78,4.13,2005,RectJa00,0,,,
Dante' Ridgeway,WR,71,212,4.57,33,,117,7.25,4.39,2005,,0,,,
Courtney Roby,WR,72,189,4.41,36.5,,126,6.6,3.94,2005,RobyCo00,2,Tennessee Titans,3,68
J.R. Russell,WR,75,206,4.56,34.5,,,,,2005,,0,Tampa Bay Buccaneers,7,253
Steve Savoy,WR,71,192,4.62,,,,,,2005,,0,,,
Dan Sheldon,WR,69,179,4.43,,,,,,2005,,0,,,
Chauncey Stovall,WR,73,221,4.62,,,,,,2005,,0,,,
Craphonso Thorpe,WR,73,188,4.38,,,,,,2005,ThorCr00,1,Kansas City Chiefs,4,116
Paris Warren,WR,72,219,4.71,31.5,,,,,2005,WarrPa00,0,Tampa Bay Buccaneers,7,225
Isaac West,WR,72,187,4.46,37,,124,7.21,4.22,2005,,0,,,
Roddy White,WR,73,207,4.46,,,,,,2005,WhitRo00,19,Atlanta Falcons,1,27
Mike Williams,WR,77,229,4.56,36.5,,,,,2005,WillMi03,5,Detroit Lions,1,10
Troy Williamson,WR,73,203,4.32,,,,6.99,,2005,WillTr01,8,Minnesota Vikings,1,7
David Anderson,WR,70,192,4.57,34,,116,6.88,4.2,2006,AndeDa01,3,Houston Texans,7,251
Devin Aromashodu,WR,74,201,4.35,39,,120,7.04,4.16,2006,AromDe00,5,Miami Dolphins,7,233
Miles Austin,WR,74,215,4.47,40.5,21,123,7.09,4.14,2006,AustMi00,3,,,
Jason Avant,WR,72,212,4.62,37,20,118,,,2006,AvanJa00,6,Philadelphia Eagles,4,109
Hank Baskett,WR,75,224,4.5,35,,119,6.79,4.17,2006,BaskHa00,9,,,
Damarius Bilbo,WR,74,214,4.7,36.5,19,115,6.9,4.18,2006,,0,,,
Jeremy Bloom,WR,69,173,4.49,,,,,,2006,,0,,,
Jovon Bouknight,WR,73,195,4.71,34,,120,6.93,4.03,2006,,0,,,
Jason Carter,WR,72,211,4.6,33,,116,6.89,4.21,2006,CartJa00,0,,,
Marques Colston,WR,77,224,4.5,37,16,123,6.94,4.43,2006,ColsMa00,28,New Orleans Saints,7,252
Chris Denney,WR,75,224,4.65,33,13,110,7.02,4.33,2006,,0,,,
Skyler Green,WR,69,192,4.53,34,,118,,,2006,GreeSk20,0,Dallas Cowboys,4,125
Derek Hagan,WR,74,208,4.45,36,,124,,4.07,2006,HagaDe00,5,Miami Dolphins,3,82
Chris Hannon,WR,75,205,4.48,34.5,,122,,,2006,,0,,,
Mike Hass,WR,73,208,4.59,32,,116,6.97,4.14,2006,HassMi00,0,New Orleans Saints,6,171
Devin Hester,WR,71,190,4.41,38,16,124,,,2006,HestDe99,28,Chicago Bears,2,57
Ed Hinkel,WR,72,190,4.54,34,,116,6.97,4.1,2006,,0,,,
Santonio Holmes,WR,71,188,4.35,,,,,,2006,HolmSa00,26,Pittsburgh Steelers,1,25
Chad Jackson,WR,73,213,4.32,38.5,,122,6.73,3.97,2006,JackCh00,2,New England Patriots,2,36
Greg Jennings,WR,71,197,4.42,36.5,,117,6.68,4.16,2006,JennGr00,26,Green Bay Packers,2,52
Adam Jennings,WR,69,181,4.44,37.5,,118,6.88,4.12,2006,JennAd00,0,Atlanta Falcons,6,184
Greg Lee,WR,74,201,4.59,35.5,,114,6.8,4.09,2006,,0,,,
Brandon Marshall,WR,76,229,4.52,37,,120,,,2006,MarsBr00,26,Denver Broncos,4,119
Anthony Mix,WR,76,235,4.48,31.5,,111,,,2006,MixxAn00,0,,,
Sinorice Moss,WR,68,185,4.38,,,,,,2006,MossSi00,4,New York Giants,2,44
Martin Nance,WR,76,213,4.55,33.5,,112,6.91,4.08,2006,NancMa00,0,,,
Ben Obomanu,WR,73,205,4.45,38,,116,7.17,4.21,2006,ObomBe00,5,Seattle Seahawks,7,249
Jonathan Orr,WR,74,198,4.44,35.5,,119,7.31,4.16,2006,,0,Tennessee Titans,6,172
Willie Reid,WR,70,188,4.34,37.5,,117,7.06,4.26,2006,ReidWi00,1,Pittsburgh Steelers,3,95
