Rk,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
209,Bernard Berrian,CHI,24,WR,2004,16,1,44,15,34.10%,225,15,2,8,25,49,5.1,0.9,14.1,0,BerrBe00
210,Ladell Betts,WAS,25,RB,2004,16,1,25,15,60.00%,108,7.2,0,4,24,20,4.3,0.9,6.8,0,BettLa00
211,Corey Dillon*,NWE,30,RB,2004,15,14,21,15,71.40%,103,6.9,1,3,52.4,20,4.9,1,6.9,5,DillCo00
212,Jim Finn,NYG,28,FB,2004,16,9,18,15,83.30%,112,7.5,0,5,55.6,15,6.2,0.9,7,0,FinnJi00
213,Bryan Gilmore,MIA,26,WR,2004,16,2,34,15,44.10%,206,13.7,1,12,38.2,37,6.1,0.9,12.9,1,GilmBr00
214,Chris Horn,KAN,27,WR,2004,14,0,27,15,55.60%,178,11.9,1,10,48.1,30,6.6,1.1,12.7,0,HornCh00
215,Rudi Johnson*,CIN,25,RB,2004,16,16,28,15,53.60%,84,5.6,0,2,17.9,30,3,0.9,5.3,4,JohnRu00
216,LaMont Jordan,NYJ,26,RB,2004,16,0,16,15,93.80%,112,7.5,0,7,62.5,25,7,0.9,7,1,JordLa00
217,Reggie Kelly,CIN,27,TE,2004,16,15,21,15,71.40%,85,5.7,0,5,38.1,14,4,0.9,5.3,0,KellRe00
218,Charles Lee,TAM,27,WR,2004,7,3,22,15,68.20%,207,13.8,0,10,68.2,35,9.4,2.1,29.6,1,LeexCh00
219,Brandon Manumaleuna,STL,24,TE,2004,16,16,21,15,71.40%,174,11.6,1,7,42.9,48,8.3,0.9,10.9,0,ManuBr00
220,Kassim Osgood,SDG,24,WR,2004,16,7,33,15,45.50%,308,20.5,2,13,42.4,65,9.3,0.9,19.3,0,OsgoKa00
221,Emmitt Smith,ARI,35,RB,2004,15,15,20,15,75.00%,105,7,0,3,45,18,5.3,1,7,4,SmitEm00
222,Tyrone Wheatley,OAK,32,RB,2004,8,7,15,15,100.00%,78,5.2,0,4,40,20,5.2,1.9,9.8,0,WheaTy00
223,Kyle Brady,JAX,32,TE,2004,11,8,23,14,60.90%,103,7.4,1,6,52.2,21,4.5,1.3,9.4,0,BradKy00
224,William Green,CLE,25,RB,2004,15,13,22,14,63.60%,84,6,0,3,27.3,17,3.8,0.9,5.6,3,GreeWi01
225,Bryan Johnson,CHI,26,FB,2004,12,6,25,14,56.00%,55,3.9,2,4,28,14,2.2,1.2,4.6,0,JohnBr01
226,Reno Mahe,PHI,24,RB,2004,11,0,16,14,87.50%,123,8.8,0,2,62.5,30,7.7,1.3,11.2,1,MaheRe00
227,Todd Yoder,JAX,26,TE,2004,16,8,22,14,63.60%,157,11.2,0,7,36.4,56,7.1,0.9,9.8,0,YodeTo00
228,Courtney Anderson,OAK,24,TE,2004,9,4,21,13,61.90%,175,13.5,1,6,52.4,28,8.3,1.4,19.4,0,AndeCo00
229,Anthony Becht,NYJ,27,TE,2004,16,16,28,13,46.40%,100,7.7,1,8,35.7,19,3.6,0.8,6.3,0,BechAn00
230,Lamar Gordon,MIA,24,RB,2004,3,2,19,13,68.40%,74,5.7,0,2,31.6,20,3.9,4.3,24.7,1,GordLa00
231,Frisman Jackson,CLE,25,WR,2004,10,0,19,13,68.40%,168,12.9,0,8,68.4,24,8.8,1.3,16.8,1,JackFr01
