ID,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
2361,Brian Hartline,MIA,23,WR,2009,16,2,56,31,55.40%,506,16.3,3,26,50,67,9,1.9,31.6,0,HartBr00
2362,Sammie Stroughter,TAM,23,WR,2009,13,0,60,31,51.70%,334,10.8,1,19,41.7,35,5.6,2.4,25.7,0,StroSa00
2363,Chansi Stuckey,2TM,26,WR,2009,15,3,66,30,45.50%,318,10.6,2,0,0,40,4.8,2,21.2,0,StucCh20
2364,Chaz Schilens,OAK,24,WR,2009,8,8,52,29,55.80%,365,12.6,2,17,44.2,25,7,3.6,45.6,0,SchiCh00
2365,Justin Gage,TEN,28,WR,2009,12,10,67,28,41.80%,383,13.7,3,22,38.8,49,5.7,2.3,31.9,0,GageJu00
2366,Jacoby Jones,HOU,25,WR,2009,14,1,40,27,67.50%,437,16.2,6,19,57.5,45,10.9,1.9,31.2,2,JoneJa03
2367,Josh Reed,BUF,29,WR,2009,14,4,45,27,60.00%,291,10.8,1,18,48.9,29,6.5,1.9,20.8,3,ReedJo01
2368,Keenan Burton,STL,25,WR,2009,9,6,45,25,55.60%,253,10.1,0,16,51.1,25,5.6,2.8,28.1,0,BurtKe00
2369,Malcolm Kelly,WAS,23,WR,2009,16,10,41,25,61.00%,347,13.9,0,15,51.2,84,8.5,1.6,21.7,0,KellMa01
2370,Devin Thomas,WAS,23,WR,2009,14,10,47,25,53.20%,325,13,3,17,40.4,40,6.9,1.8,23.2,0,ThomDe02
2371,Devin Aromashodu,CHI,25,WR,2009,10,2,43,24,55.80%,298,12.4,4,15,53.5,39,6.9,2.4,29.8,0,AromDe00
2372,Mark Bradley,KAN,27,WR,2009,13,6,57,24,42.10%,320,13.3,2,11,29.8,50,5.6,1.8,24.6,0,BradMa00
2373,Legedu Naanee,SDG,26,WR,2009,15,1,29,24,82.80%,242,10.1,2,14,72.4,23,8.3,1.6,16.1,0,NaanLe00
2374,Maurice Stovall,TAM,24,WR,2009,15,7,47,24,51.10%,366,15.3,1,17,42.6,38,7.8,1.6,24.4,0,StovMa00
2375,Mike Furrey,CLE,32,WR,2009,16,4,39,23,59.00%,170,7.4,0,12,43.6,22,4.4,1.4,10.6,0,FurrMi00
2376,Jordy Nelson,GNB,24,WR,2009,13,0,31,22,71.00%,320,14.5,2,15,67.7,51,10.3,1.7,24.6,3,NelsJo00
2377,Isaac Bruce,SFO,37,WR,2009,10,7,49,21,42.90%,264,12.6,0,13,36.7,50,5.4,2.1,26.4,0,BrucIs00
2378,Sam Aiken,NWE,29,WR,2009,14,7,41,20,48.80%,326,16.3,2,12,43.9,81,8,1.4,23.3,0,AikeSa00
2379,Josh Cribbs,CLE,26,WR,2009,16,12,37,20,54.10%,135,6.8,1,4,18.9,35,3.6,1.3,8.4,6,CribJo01
2380,Lance Long,2TM,24,WR,2009,8,1,38,20,52.60%,178,8.9,0,0,0,30,4.7,2.5,22.3,1,LongLa00
2381,Johnnie Lee Higgins,OAK,26,WR,2009,15,5,45,19,42.20%,263,13.8,0,14,35.6,33,5.8,1.3,17.5,4,HiggJo00
2382,Brandon Stokley,DEN,33,WR,2009,16,2,33,19,57.60%,327,17.2,4,15,45.5,87,9.9,1.2,20.4,0,StokBr00
2383,Jerheme Urban,ARI,29,WR,2009,10,0,29,18,62.10%,186,10.3,0,10,44.8,40,6.4,1.8,18.6,0,UrbaJe00
2384,Early Doucet,ARI,24,WR,2009,9,0,24,17,70.80%,214,12.6,1,12,62.5,29,8.9,1.9,23.8,0,DoucEa00
2385,Dwayne Jarrett,CAR,23,WR,2009,13,2,31,17,54.80%,196,11.5,1,10,45.2,30,6.3,1.3,15.1,0,JarrDw00
2386,Marty Booker,ATL,33,WR,2009,16,1,31,16,51.60%,181,11.3,1,9,51.6,27,5.8,1,11.3,0,BookMa00
2387,Michael Clayton,TAM,27,WR,2009,13,11,48,16,33.30%,230,14.4,1,11,29.2,47,4.8,1.2,17.7,0,ClayMi00
2388,Deon Butler,SEA,23,WR,2009,16,0,42,15,35.70%,175,11.7,0,9,35.7,32,4.2,0.9,10.9,0,ButlDe00
2389,Domenik Hixon,NYG,25,WR,2009,14,2,28,15,53.60%,187,12.5,1,10,42.9,61,6.7,1.1,13.4,3,HixoDo00
2390,David Clowney,NYJ,24,WR,2009,13,3,22,14,63.60%,191,13.6,1,7,36.4,53,8.7,1.1,14.7,1,ClowDa00
2391,Lance Moore,NOR,26,WR,2009,7,0,19,14,73.70%,153,10.9,2,10,68.4,22,8.1,2,21.9,0,MoorLa00
2392,Laurent Robinson,STL,24,WR,2009,3,3,23,13,56.50%,167,12.8,1,11,56.5,45,7.3,4.3,55.7,0,RobiLa01
2393,Chris Henry,CIN,26,WR,2009,8,0,23,12,52.20%,236,19.7,2,11,52.2,73,10.3,1.5,29.5,0,HenrCh00
2394,Evan Moore,CLE,24,WR,2009,5,0,23,12,52.20%,158,13.2,0,8,43.5,24,6.9,2.4,31.6,0,MoorEv00
2395,Brian Finneran,ATL,33,WR,2009,10,2,16,11,68.80%,111,10.1,0,7,50,19,6.9,1.1,11.1,0,FinnBr00
2396,Reggie Brown,PHI,28,WR,2009,14,2,24,9,37.50%,155,17.2,0,7,33.3,43,6.5,0.6,11.1,0,BrowRe01
2397,Darrius Heyward-Bey,OAK,22,WR,2009,11,11,40,9,22.50%,124,13.8,1,8,20,24,3.1,0.8,11.3,0,HeywDa00
2398,Jason Hill,SFO,24,WR,2009,11,0,16,9,56.30%,90,10,2,6,37.5,30,5.6,0.8,8.2,0,HillJa00
2399,Derek Hagan,NYG,25,WR,2009,16,0,8,8,100.00%,101,12.6,1,4,87.5,23,12.6,0.5,6.3,0,HagaDe00
2400,Greg Lewis,MIN,29,WR,2009,13,1,11,8,72.70%,96,12,1,3,36.4,32,8.7,0.6,7.4,0,LewiGr01
2401,Brandon Lloyd,DEN,28,WR,2009,2,1,18,8,44.40%,117,14.6,0,4,38.9,44,6.5,4,58.5,0,LloyBr00
2402,Todd Watkins,OAK,26,WR,2009,13,1,19,8,42.10%,90,11.3,0,4,26.3,28,4.7,0.6,6.9,0,WatkTo20
2403,Demetrius Williams,BAL,26,WR,2009,12,0,17,8,47.10%,142,17.8,1,6,47.1,34,8.4,0.7,11.8,0,WillDe03
2404,Joey Galloway,NWE,38,WR,2009,3,2,20,7,35.00%,67,9.6,0,3,20,19,3.4,2.3,22.3,0,GallJo00
2405,Lavelle Hawkins,TEN,23,WR,2009,10,0,14,7,50.00%,110,15.7,0,5,35.7,32,7.9,0.7,11,0,HawkLa00
2406,Sam Hurd,DAL,24,WR,2009,16,1,12,7,58.30%,121,17.3,1,4,58.3,53,10.1,0.4,7.6,0,HurdSa00
2407,Kevin Ogletree,DAL,22,WR,2009,11,0,8,7,87.50%,96,13.7,0,5,75,21,12,0.6,8.7,2,OgleKe00
2408,Brian Robiskie,CLE,22,WR,2009,11,1,20,7,35.00%,106,15.1,0,6,30,43,5.3,0.6,9.6,0,RobiBr00
2409,Brad Smith,NYJ,26,WR,2009,13,2,12,7,58.30%,63,9,0,3,41.7,19,5.3,0.5,4.8,0,SmitBr01
2410,Brian Clark,TAM,26,WR,2009,14,0,18,6,33.30%,65,10.8,0,3,22.2,17,3.6,0.4,4.6,0,ClarBr00
2411,Kevin Curtis,PHI,31,WR,2009,3,1,15,6,40.00%,77,12.8,0,5,40,19,5.1,2,25.7,0,CurtKe00
2412,Andre' Davis,HOU,30,WR,2009,14,1,11,6,54.50%,59,9.8,0,3,36.4,21,5.4,0.4,4.2,0,DaviAn01
2413,Craig Davis,SDG,24,WR,2009,1,0,7,6,85.70%,52,8.7,0,4,85.7,11,7.4,6,52,0,DaviCr00
2414,Jarett Dillard,JAX,24,WR,2009,7,0,8,6,75.00%,106,17.7,0,5,62.5,33,13.3,0.9,15.1,0,DillJa00
2415,Ruvell Martin,STL,27,WR,2009,8,0,12,6,50.00%,99,16.5,0,4,41.7,33,8.3,0.8,12.4,0,MartRu00
2416,Kenny Moore,CAR,24,WR,2009,12,1,11,6,54.50%,59,9.8,0,1,36.4,22,5.4,0.5,4.9,1,MoorKe00
2417,Michael Robinson,SFO,26,WR,2009,15,0,11,6,54.50%,24,4,0,1,18.2,8,2.2,0.4,1.6,0,RobiMi00
2418,Eric Weems,ATL,24,WR,2009,16,0,6,6,100.00%,50,8.3,2,4,66.7,30,8.3,0.4,3.1,3,WeemEr00
2419,Derrick Williams,DET,23,WR,2009,11,0,13,6,46.20%,52,8.7,0,2,30.8,19,4,0.5,4.7,2,WillDe05
2420,Hank Baskett,2TM,27,WR,2009,12,0,12,5,41.70%,34,6.8,0,0,0,9,2.8,0.4,2.8,0,BaskHa00
2421,Arnaz Battle,SFO,29,WR,2009,15,0,5,5,100.00%,40,8,0,2,60,12,8,0.3,2.7,6,BattAr00
2422,Rashied Davis,CHI,30,WR,2009,16,0,8,5,62.50%,35,7,0,2,50,10,4.4,0.3,2.2,0,DaviRa00
2423,Bobby Engram,KAN,36,WR,2009,5,0,10,5,50.00%,61,12.2,0,4,50,18,6.1,1,12.2,0,EngrBo00
2424,Nate Hughes,JAX,24,WR,2009,8,0,12,5,41.70%,70,14,1,2,33.3,35,5.8,0.6,8.8,0,HughNa00
2425,Terrance Copper,KAN,27,WR,2009,15,2,6,4,66.70%,68,17,0,2,50,50,11.3,0.3,4.5,0,CoppTe00
2426,Quan Cosby,CIN,27,WR,2009,16,0,6,4,66.70%,55,13.8,0,2,33.3,23,9.2,0.3,3.4,2,CosbQu00
2427,Marko Mitchell,WAS,24,WR,2009,10,0,7,4,57.10%,32,8,0,2,57.1,11,4.6,0.4,3.2,0,MitcMa00
2428,Ben Obomanu,SEA,26,WR,2009,14,0,5,4,80.00%,41,10.3,0,4,80,12,8.2,0.3,2.9,1,ObomBe00
2429,Roscoe Parrish,BUF,27,WR,2009,12,0,6,3,50.00%,34,11.3,0,0,0,16,5.7,0.3,2.8,5,ParrRo00
2430,Isaiah Stanback,NWE,25,WR,2009,6,2,7,3,42.90%,22,7.3,0,1,42.9,9,3.1,0.5,3.7,0,StanIs00
2431,Troy Williamson,JAX,26,WR,2009,2,1,4,3,75.00%,34,11.3,0,1,50,13,8.5,1.5,17,1,WillTr01
2432,Steve Johnson,BUF,23,WR,2009,5,0,3,2,66.70%,10,5,0,1,33.3,5,3.3,0.4,2,0,JohnSt00
2433,Marcel Reece,OAK,24,WR,2009,2,0,4,2,50.00%,20,10,0,1,50,11,5,1,10,0,ReecMa00
2434,Wallace Wright,NYJ,25,WR,2009,16,0,3,2,66.70%,21,10.5,0,2,66.7,14,7,0.1,1.3,0,WrigWa00
2435,Ramses Barden,NYG,23,WR,2009,3,0,1,1,100.00%,16,16,0,1,100,16,16,0.3,5.3,0,BardRa00
2436,Tim Carter,STL,30,WR,2009,2,0,5,1,20.00%,6,6,0,0,0,6,1.2,0.5,3,0,CartTi00
2437,Yamon Figurs,2TM,26,WR,2009,6,0,2,1,50.00%,7,7,0,0,0,7,3.5,0.2,1.2,0,FiguYa00
2438,Tyler Grisham,PIT,22,WR,2009,4,0,2,1,50.00%,14,14,0,1,50,14,7,0.3,3.5,0,GrisTy00
2439,James Hardy,BUF,24,WR,2009,2,0,1,1,100.00%,9,9,0,0,0,9,9,0.5,4.5,0,HardJa00
2440,Jaymar Johnson,MIN,25,WR,2009,6,0,1,1,100.00%,9,9,0,0,0,9,9,0.2,1.5,0,JohnJa01
2441,Brandon Jones,SFO,27,WR,2009,8,0,5,1,20.00%,18,18,0,1,20,18,3.6,0.1,2.3,0,JoneBr02
2442,Mark Jones,TEN,29,WR,2009,3,0,2,1,50.00%,9,9,0,0,0,9,4.5,0.3,3,0,JoneMa01
2443,Jordan Kent,STL,25,WR,2009,5,0,3,1,33.30%,5,5,0,1,33.3,5,1.7,0.2,1,0,KentJo20
2444,Quinten Lawrence,KAN,25,WR,2009,6,1,2,1,50.00%,9,9,0,0,50,9,4.5,0.2,1.5,0,LawrQu00
2445,Charly Martin,CAR,25,WR,2009,7,0,2,1,50.00%,6,6,0,0,0,6,3,0.1,0.9,0,MartCh00
2446,Sinorice Moss,NYG,26,WR,2009,8,0,4,1,25.00%,18,18,1,1,25,18,4.5,0.1,2.3,1,MossSi00
2447,Kassim Osgood,SDG,29,WR,2009,16,0,5,1,20.00%,17,17,0,1,20,17,3.4,0.1,1.1,0,OsgoKa00
2448,Courtney Roby,NOR,26,WR,2009,15,0,1,1,100.00%,6,6,0,0,0,6,6,0.1,0.4,2,RobyCo00
2449,John Standeford,DET,27,WR,2009,2,0,3,1,33.30%,5,5,0,1,33.3,5,1.7,0.5,2.5,0,StanJo00
2450,Limas Sweed,PIT,25,WR,2009,9,0,5,1,20.00%,5,5,0,0,0,5,1,0.1,0.6,0,SweeLi00
2451,Jake Allen,2TM,24,WR,2009,3,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,AlleJa24
2452,Sam Giguere,IND,24,WR,2009,1,0,2,0,0.00%,0,,0,0,0,0,0,0,0,0,GiguSa00
2453,Justin Harper,BAL,24,WR,2009,2,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,HarpJu01
2454,Sean Morey,ARI,33,WR,2009,13,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,MoreSe00
2455,Maurice Purify,CIN,23,WR,2009,5,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,PuriMa00
2456,Darius Reynaud,MIN,25,WR,2009,11,0,2,0,0.00%,0,,0,0,0,0,0,0,0,3,ReynDa00
2457,Jerome Simpson,CIN,23,WR,2009,2,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,SimpJe00
2458,Brett Swain,GNB,24,WR,2009,6,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,SwaiBr00
2459,Brandon Tate,NWE,22,WR,2009,2,1,2,0,0.00%,0,,0,0,0,0,0,0,0,0,TateBr00
2460,Roddy White,ATL,29,WR,2010,16,16,179,115,64.20%,1389,12.1,10,73,54.2,46,7.8,7.2,86.8,1,WhitRo00
2461,Reggie Wayne,IND,32,WR,2010,16,16,175,111,63.40%,1355,12.2,6,72,53.1,50,7.7,6.9,84.7,1,WaynRe00
2462,Santana Moss,WAS,31,WR,2010,16,16,145,93,64.10%,1115,12,6,61,53.8,56,7.7,5.8,69.7,3,MossSa00
2463,Larry Fitzgerald,ARI,27,WR,2010,16,15,173,90,52.00%,1137,12.6,6,58,44.5,41,6.6,5.6,71.1,0,FitzLa00
2464,Andre Johnson,HOU,29,WR,2010,13,13,138,86,62.30%,1216,14.1,8,59,54.3,60,8.8,6.6,93.5,1,JohnAn02
2465,Brandon Marshall,MIA,26,WR,2010,14,14,146,86,58.90%,1014,11.8,3,56,51.4,46,6.9,6.1,72.4,2,MarsBr00
2466,Wes Welker,NWE,29,WR,2010,15,11,123,86,69.90%,848,9.9,7,47,57.7,35,6.9,5.7,56.5,1,WelkWe00
2467,Danny Amendola,STL,25,WR,2010,16,6,123,85,69.10%,689,8.1,3,35,50.4,36,5.6,5.3,43.1,2,AmenDa00
2468,Marques Colston,NOR,27,WR,2010,15,11,131,84,64.10%,1023,12.2,7,57,58.8,43,7.8,5.6,68.2,0,ColsMa00
2469,Steve Johnson,BUF,24,WR,2010,16,13,141,82,58.20%,1073,13.1,10,61,50.4,45,7.6,5.1,67.1,1,JohnSt00
2470,Davone Bess,MIA,25,WR,2010,16,8,125,79,63.20%,820,10.4,5,42,48.8,29,6.6,4.9,51.3,3,BessDa00
2471,Hakeem Nicks,NYG,22,WR,2010,13,12,128,79,61.70%,1052,13.3,11,45,53.9,46,8.2,6.1,80.9,1,NickHa01
2472,Calvin Johnson,DET,25,WR,2010,15,15,137,77,56.20%,1120,14.5,12,54,49.6,87,8.2,5.1,74.7,1,JohnCa00
2473,Brandon Lloyd,DEN,29,WR,2010,16,11,153,77,50.30%,1448,18.8,11,72,49.7,71,9.5,4.8,90.5,0,LloyBr00
2474,Greg Jennings,GNB,27,WR,2010,16,16,125,76,60.80%,1265,16.6,12,51,54.4,86,10.1,4.8,79.1,2,JennGr00
2475,Dwayne Bowe,KAN,26,WR,2010,16,16,133,72,54.10%,1162,16.1,15,55,50.4,75,8.7,4.5,72.6,1,BoweDw00
2476,Terrell Owens,CIN,37,WR,2010,14,11,139,72,51.80%,983,13.7,9,47,44.6,78,7.1,5.1,70.2,0,OwenTe00
2477,Percy Harvin,MIN,22,WR,2010,14,13,109,71,65.10%,868,12.2,5,40,49.5,53,8,5.1,62,1,HarvPe00
2478,Jeremy Maclin,PHI,22,WR,2010,16,16,115,70,60.90%,964,13.8,10,40,48.7,83,8.4,4.4,60.3,1,MaclJe00
2479,Miles Austin,DAL,26,WR,2010,16,16,119,69,58.00%,1041,15.1,7,46,52.9,69,8.7,4.3,65.1,1,AustMi00
2480,Pierre Garcon,IND,24,WR,2010,14,14,119,67,56.30%,784,11.7,6,41,52.9,57,6.6,4.8,56,0,GarcPi00
2481,Chad Johnson,CIN,32,WR,2010,14,12,126,67,53.20%,831,12.4,4,47,51.6,42,6.6,4.8,59.4,0,JohnCh01
2482,Lance Moore,NOR,27,WR,2010,16,1,94,66,70.20%,763,11.6,8,40,60.6,80,8.1,4.1,47.7,2,MoorLa00
2483,Mike Thomas,JAX,23,WR,2010,16,11,102,66,64.70%,820,12.4,4,38,51,50,8,4.1,51.3,3,ThomMi01
2484,Jabar Gaffney,DEN,30,WR,2010,16,11,112,65,58.00%,875,13.5,2,41,50,50,7.8,4.1,54.7,1,GaffJa00
2485,Mike Williams,SEA,26,WR,2010,14,13,110,65,59.10%,751,11.6,2,41,47.3,68,6.8,4.6,53.6,0,WillMi03
2486,Mike Williams,TAM,23,WR,2010,16,16,129,65,50.40%,964,14.8,11,44,42.6,58,7.5,4.1,60.3,3,WillMi04
2487,Anquan Boldin,BAL,30,WR,2010,16,16,109,64,58.70%,837,13.1,7,43,51.4,61,7.7,4,52.3,1,BoldAn00
2488,Deion Branch,2TM,31,WR,2010,15,12,92,61,66.30%,818,13.4,6,0,0,79,8.9,4.1,54.5,1,BranDe00
2489,Derrick Mason,BAL,36,WR,2010,16,15,100,61,61.00%,802,13.1,7,44,56,42,8,3.8,50.1,0,MasoDe00
2490,Mario Manningham,NYG,24,WR,2010,16,8,93,60,64.50%,944,15.7,9,28,50.5,92,10.2,3.8,59,1,MannMa01
2491,Mike Wallace,PIT,24,WR,2010,16,16,98,60,61.20%,1257,21,10,48,53.1,56,12.8,3.8,78.6,1,WallMi00
2492,Eddie Royal,DEN,24,WR,2010,16,10,105,59,56.20%,627,10.6,3,32,41.9,41,6,3.7,39.2,4,RoyaEd00
2493,Hines Ward,PIT,34,WR,2010,16,15,95,59,62.10%,755,12.8,5,35,51.6,43,7.9,3.7,47.2,1,WardHi00
2494,Austin Collie,IND,25,WR,2010,9,6,71,58,81.70%,649,11.2,8,32,71.8,73,9.1,6.4,72.1,1,CollAu00
2495,Nate Burleson,DET,29,WR,2010,14,14,86,55,64.00%,625,11.4,6,29,52.3,58,7.3,3.9,44.6,2,BurlNa00
2496,Michael Crabtree,SFO,23,WR,2010,16,15,101,55,54.50%,741,13.5,6,40,44.6,60,7.3,3.4,46.3,0,CrabMi00
2497,Braylon Edwards,NYJ,27,WR,2010,16,15,101,53,52.50%,904,17.1,7,40,45.5,74,9,3.3,56.5,1,EdwaBr00
2498,Brandon Gibson,STL,23,WR,2010,14,12,91,53,58.20%,620,11.7,2,32,48.4,41,6.8,3.8,44.3,0,GibsBr00
2499,Santonio Holmes,NYJ,26,WR,2010,12,10,96,52,54.20%,746,14.3,6,35,46.9,52,7.8,4.3,62.2,2,HolmSa00
2500,Jordan Shipley,CIN,25,WR,2010,15,4,74,52,70.30%,600,11.5,3,31,52.7,64,8.1,3.5,40,0,ShipJo00
2501,Jason Avant,PHI,27,WR,2010,16,3,76,51,67.10%,573,11.2,1,29,60.5,34,7.5,3.2,35.8,0,AvanJa00
2502,Donald Driver,GNB,35,WR,2010,15,15,85,51,60.00%,565,11.1,4,30,49.4,61,6.6,3.4,37.7,1,DrivDo00
2503,Jacoby Jones,HOU,26,WR,2010,15,7,78,51,65.40%,562,11,3,30,51.3,47,7.2,3.4,37.5,1,JoneJa03
2504,Johnny Knox,CHI,24,WR,2010,16,16,100,51,51.00%,960,18.8,5,43,47,67,9.6,3.2,60,1,KnoxJo00
2505,Kevin Walter,HOU,29,WR,2010,16,16,80,51,63.80%,621,12.2,5,33,55,35,7.8,3.2,38.8,0,WaltKe00
2506,James Jones,GNB,26,WR,2010,16,3,87,50,57.50%,679,13.6,5,33,50.6,66,7.8,3.1,42.4,3,JoneJa04
2507,Steve Smith,NYG,25,WR,2010,9,7,75,48,64.00%,529,11,3,26,57.3,45,7.1,5.3,58.8,0,SmitSt02
2508,Steve Breaston,ARI,27,WR,2010,13,11,87,47,54.00%,718,15.3,1,32,44.8,37,8.3,3.6,55.2,0,BreaSt00
2509,DeSean Jackson,PHI,24,WR,2010,14,14,95,47,49.50%,1056,22.5,6,32,43.2,91,11.1,3.4,75.4,4,JackDe00
2510,Earl Bennett,CHI,23,WR,2010,14,3,71,46,64.80%,561,12.2,3,27,50.7,48,7.9,3.3,40.1,1,BennEa00
2511,Steve Smith Sr.,CAR,31,WR,2010,14,14,100,46,46.00%,554,12,2,24,37,39,5.5,3.3,39.6,3,SmitSt01
2512,Dez Bryant,DAL,22,WR,2010,12,2,73,45,61.60%,561,12.5,6,23,45.2,46,7.7,3.8,46.8,1,BryaDe01
2513,Jordy Nelson,GNB,25,WR,2010,16,4,64,45,70.30%,582,12.9,2,25,62.5,80,9.1,2.8,36.4,3,NelsJo00
2514,Anthony Armstrong,WAS,27,WR,2010,15,11,86,44,51.20%,871,19.8,3,32,44.2,76,10.1,2.9,58.1,1,ArmsAn00
2515,Robert Meachem,NOR,26,WR,2010,16,7,66,44,66.70%,638,14.5,5,27,56.1,55,9.7,2.8,39.9,0,MeacRo00
2516,Josh Morgan,SFO,25,WR,2010,16,11,80,44,55.00%,698,15.9,2,27,46.3,65,8.7,2.8,43.6,2,MorgJo00
2517,Brian Hartline,MIA,24,WR,2010,12,11,73,43,58.90%,615,14.3,1,27,52.1,54,8.4,3.6,51.3,1,HartBr00
2518,Mike Sims-Walker,JAX,26,WR,2010,14,13,80,43,53.80%,562,13.1,7,32,52.5,39,7,3.1,40.1,1,WalkMi01
2519,Kenny Britt,TEN,22,WR,2010,12,7,73,42,57.50%,775,18.5,9,33,53.4,80,10.6,3.5,64.6,1,BritKe00
2520,Nate Washington,TEN,27,WR,2010,16,16,94,42,44.70%,687,16.4,6,34,42.6,71,7.3,2.6,42.9,0,WashNa00
2521,Jerricho Cotchery,NYJ,28,WR,2010,14,5,86,41,47.70%,433,10.6,2,27,40.7,49,5,2.9,30.9,0,CotcJe00
2522,Michael Jenkins,ATL,28,WR,2010,11,9,73,41,56.20%,505,12.3,2,29,46.6,43,6.9,3.7,45.9,0,JenkMi00
2523,Louis Murphy,OAK,23,WR,2010,14,9,78,41,52.60%,609,14.9,2,28,43.6,70,7.8,2.9,43.5,2,MurpLo00
2524,Devin Hester,CHI,28,WR,2010,16,13,73,40,54.80%,475,11.9,4,24,45.2,39,6.5,2.5,29.7,0,HestDe99
2525,Chansi Stuckey,CLE,27,WR,2010,16,5,63,40,63.50%,346,8.7,0,21,42.9,25,5.5,2.5,21.6,3,StucCh20
2526,Brandon LaFell,CAR,24,WR,2010,14,2,77,38,49.40%,468,12.3,1,23,39,44,6.1,2.7,33.4,0,LaFeBr00
2527,Lee Evans,BUF,29,WR,2010,13,13,84,37,44.00%,578,15.6,4,26,39.3,54,6.9,2.8,44.5,2,EvanLe00
2528,Malcom Floyd,SDG,29,WR,2010,11,9,77,37,48.10%,717,19.4,6,33,45.5,55,9.3,3.4,65.2,1,FloyMa00
2529,David Gettis,CAR,23,WR,2010,15,13,67,37,55.20%,508,13.7,3,24,47.8,88,7.6,2.5,33.9,0,GettDa00
2530,Roy Williams,DAL,29,WR,2010,15,9,64,37,57.80%,530,14.3,5,24,50,63,8.3,2.5,35.3,3,WillRo04
2531,Deon Butler,SEA,24,WR,2010,13,8,70,36,51.40%,385,10.7,4,20,37.1,63,5.5,2.8,29.6,0,ButlDe00
2532,Mohamed Massaquoi,CLE,24,WR,2010,15,14,73,36,49.30%,483,13.4,2,24,41.1,41,6.6,2.4,32.2,1,MassMo00
2533,Blair White,IND,23,WR,2010,13,4,57,36,63.20%,355,9.9,5,24,52.6,33,6.2,2.8,27.3,1,WhitBl00
2534,Devery Henderson,NOR,28,WR,2010,16,11,59,34,57.60%,464,13.6,1,22,49.2,57,7.9,2.1,29,0,HendDe00
2535,Laurent Robinson,STL,25,WR,2010,14,11,75,34,45.30%,344,10.1,2,21,36,32,4.6,2.4,24.6,0,RobiLa01
2536,Roscoe Parrish,BUF,28,WR,2010,8,6,53,33,62.30%,400,12.1,2,20,47.2,37,7.5,4.1,50,1,ParrRo00
2537,David Nelson,BUF,24,WR,2010,15,3,47,31,66.00%,353,11.4,3,19,55.3,37,7.5,2.1,23.5,0,NelsDa01
2538,Brandon Stokley,SEA,34,WR,2010,11,0,43,31,72.10%,354,11.4,0,22,60.5,36,8.2,2.8,32.2,0,StokBr00
2539,T.J. Houshmandzadeh,BAL,33,WR,2010,16,2,57,30,52.60%,398,13.3,3,19,42.1,56,7,1.9,24.9,1,HousTJ00
2540,Ben Obomanu,SEA,27,WR,2010,15,6,49,30,61.20%,494,16.5,4,17,53.1,87,10.1,2,32.9,0,ObomBe00
2541,Brian Robiskie,CLE,23,WR,2010,14,11,49,29,59.20%,310,10.7,3,12,40.8,46,6.3,2.1,22.1,0,RobiBr00
2542,Bernard Berrian,MIN,30,WR,2010,14,9,54,28,51.90%,252,9,0,14,42.6,30,4.7,2,18,2,BerrBe00
2543,Patrick Crayton,SDG,31,WR,2010,9,2,42,28,66.70%,514,18.4,1,24,64.3,49,12.2,3.1,57.1,0,CrayPa00
2544,Randy Moss,3TM,33,WR,2010,16,11,63,28,44.40%,393,14,5,0,0,37,6.2,1.8,24.6,0,MossRa00
2545,Emmanuel Sanders,PIT,23,WR,2010,13,1,50,28,56.00%,376,13.4,2,18,54,35,7.5,2.2,28.9,2,SandEm00
2546,Early Doucet,ARI,25,WR,2010,10,5,59,26,44.10%,291,11.2,1,10,32.2,36,4.9,2.6,29.1,0,DoucEa00
2547,Darrius Heyward-Bey,OAK,23,WR,2010,15,14,65,26,40.00%,366,14.1,1,18,36.9,69,5.6,1.7,24.4,1,HeywDa00
2548,Arrelious Benn,TAM,22,WR,2010,15,9,38,25,65.80%,395,15.8,2,17,57.9,64,10.4,1.7,26.3,1,BennAr00
2549,Andre Caldwell,CIN,25,WR,2010,15,5,37,25,67.60%,345,13.8,0,16,64.9,53,9.3,1.7,23,1,CaldAn00
2550,Jacoby Ford,OAK,23,WR,2010,16,9,54,25,46.30%,470,18.8,2,19,40.7,52,8.7,1.6,29.4,3,FordJa01
2551,Derek Hagan,NYG,26,WR,2010,7,4,43,24,55.80%,223,9.3,1,14,46.5,17,5.2,3.4,31.9,0,HagaDe00
2552,Andre Roberts,ARI,22,WR,2010,15,2,49,24,49.00%,307,12.8,2,10,34.7,74,6.3,1.6,20.5,2,RobeAn00
2553,Sammie Stroughter,TAM,24,WR,2010,12,4,38,24,63.20%,239,10,0,13,44.7,27,6.3,2,19.9,1,StroSa00
2554,Brandon Tate,NWE,23,WR,2010,16,10,46,24,52.20%,432,18,3,14,32.6,65,9.4,1.5,27,1,TateBr00
2555,Mark Clayton,STL,28,WR,2010,5,5,42,23,54.80%,306,13.3,2,15,47.6,39,7.3,4.6,61.2,0,ClayMa01
