Player,totalYds,YPG,Height (in),Arm Length (in),40 Yard,Vert Leap (in),Broad Jump (in)
Elijah Moore,984,36,69.5,30.125,4.35,36,121
Mohamed Sanu,4871,35,73.5,33.5,4.62,36,126
Nelson Agholor,4246,35,72.13,32.25,4.42,36.5,125
Reggie Brown,2574,35,73.63,31.38,4.52,41.5,128
Laurent Robinson,2110,35,74.0,33.75,4.44,39,127
Greg Little,1890,35,74.5,33.25,4.51,40.5,129
Jordan Shipley,858,35,71.25,30.5,4.6,36.5,116
Jeremy McDaniel,826,35,72.5,30.63,4.63,33.5,112
Dennis Northcutt,4941,34,70.4,29,4.46,37.5,123
Leonard Hankerson,1408,34,73.5,32.25,4.4,36,117
Josh Palmer,1122,34,73.25,33,4.52,34,124
Jermaine Kearse,3290,33,72.88,32.13,4.5,34,119
Kendrick Bourne,3003,33,73.25,32.5,4.68,34,125
Devin Hester,2508,33,70.63,31.13,4.46,38,124
Russell Gage,2491,33,72.0,33,4.5,39,122
Patrick Jeffers,1563,33,75.1,31.63,4.63,35,121
Anthony Gonzalez,1307,33,72.0,31,4.46,38,123
Josh Doctson,1100,33,74.0,31.88,4.5,41,131
Justin McCareins,3676,32,73.8,32,4.46,41,129
Jerome Simpson,2058,32,73.75,34.25,4.44,37.5,136
Dede Westbrook,1788,32,71.63,30.625,4.39,34.5,120
Charlie Jones,1736,32,68.0,31.63,4.59,34,117
Keith Poole,1734,32,72.8,30.63,4.57,31,115
Preston Williams,787,32,76.25,33,4.61,31.5,116
Charles Johnson,4431,31,74.0,30.5,4.39,39.5,133
Harry Douglas,3759,31,71.25,32.25,4.57,31,120
Jeremy Kerley,3116,31,69.5,30,4.56,34.5,120
Michael Clayton,2955,31,74.8,32.38,4.61,32.5,116
Donte Moncrief,2576,31,74.38,32.38,4.4,39.5,132
Donald Hayes,1988,31,76.6,34.25,4.57,36,123
Derrick Mayes,1823,31,72.1,32.88,4.67,35.5,120
Kadarius Toney,591,31,71.63,31.25,4.38,39.5,136
Joe Jurevicius,4119,30,76.9,33,4.66,31.5,118
Parris Campbell,983,30,71.88,32.25,4.31,40,135
Dorial Green-Beckham,941,30,77.13,32.5,4.49,33.5,119
Corey Bradford,3346,29,72.6,35.25,4.47,34.5,126
Marquise Goodwin,3023,29,68.88,31.48,4.27,42,132
Breshad Perriman,2343,29,74.0,32,4.52,36.5,127
Earl Bennett,2277,29,71.5,32.13,4.52,26,110
Tai Streets,2268,29,73.4,33.13,4.44,37,118
Chris Givens,1779,29,71.13,31.25,4.35,33.5,118
Keke Coutee,966,29,69.75,29.88,4.43,34.5,113
Corey Coleman,789,29,70.63,30.25,4.4,40.5,129
Aaron Dobson,698,29,74.75,33,4.37,35,121
Travis Benjamin,3143,28,69.88,31.75,4.31,38,119
Robert Meachem,2914,28,74.0,32.25,4.4,37.5,121
Bobby Wade,2858,28,70.3,31.5,4.68,34.5,115
Zay Jones,2707,28,73.88,32.5,4.45,36.5,133
Albert Wilson,2499,28,69.38,30.38,4.43,37.5,123
Ernest Wilford,2022,28,75.6,32.75,4.76,40.5,130
Paul Richardson,1809,28,72.38,32.63,4.4,38,123
Riley Cooper,2418,27,75.38,32.63,4.53,33,114
Doug Gabriel,1550,27,74.3,32.5,4.56,35.5,116
Quez Watkins,1107,27,72.13,32.88,4.35,36.5,125
Kenbrell Thompkins,893,27,72.63,32.28,4.54,33.5,121
Antonio Callaway,695,27,70.63,31.5,4.41,34,121
Chris Conley,2853,26,73.88,33.75,4.35,45,139
Troy Edwards,2404,26,69.5,30.13,4.57,36.5,117
Dez White,2149,26,73.3,32.75,4.62,37.5,124
Reche Caldwell,1851,26,71.8,32,4.53,41.5,128
James Washington,1629,26,71.0,32.375,4.54,34.5,120
Markus Wheaton,1559,26,71.0,32.68,4.45,37,120
Jalen Guyton,1023,26,72.88,32,4.39,37.5,125
MarTay Jenkins,987,26,71.4,31.5,4.5,39.5,116
Cedrick Wilson,4730,25,69.8,29,4.46,38,123
Jarius Wright,2782,25,69.63,31.5,4.39,38,120
Josh Reynolds,2325,25,74.75,31.5,4.52,37,124
Zach Pascal,2038,25,73.75,32,4.55,36,126
Marquez Callaway,1069,25,73.25,32.38,4.55,38,126
John Ross,957,25,70.75,31.5,4.22,37,133
Mikhael Ricks,914,25,77.1,35.13,4.57,36,127
Donald Jones,887,25,72.38,32,4.46,41,119
Scotty Anderson,858,25,74.1,31.5,4.57,34.5,115
Marquess Wilson,777,25,74.63,31.18,4.51,34.5,122
Greg Salas,704,25,73.13,32,4.53,37,120
Stephen Hill,594,25,76.0,33.38,4.28,39.5,133
Quintez Cephus,568,25,72.88,32.13,4.73,38.5,124
Derrius Thompson,1543,24,74.0,31.5,4.6,41.5,112
Vincent Brown,941,24,71.25,33,4.68,33.5,121
Andre' Davis,2470,23,73.5,31.5,4.41,39.5,117
Rashard Higgins,1890,23,73.38,32.25,4.64,32,116
Brandon Jones,1398,23,73.38,33.13,4.47,37,114
Damian Williams,1327,23,72.63,31.75,4.52,38,118
David Moore,1163,23,72.63,30.625,4.43,36.5,124
Preston Parker,1054,23,71.25,30.375,4.66,35,117
Corey Brown,1019,23,71.38,31.75,4.51,33,115
Trevor Gaylor,784,23,75.3,32.75,4.59,37.5,121
Jacoby Jones,2733,22,74.63,34.25,4.55,34,129
Dedric Ward,2307,22,68.6,30,4.56,31,109
Damiere Byrd,1689,22,69.25,29.875,4.39,42,131
Justin Hunter,1349,22,76.0,33.28,4.44,39.5,136
Mark Bradley,1283,22,73.38,31.38,4.43,39.5,128
Richie James,1258,22,70.13,31.25,4.48,35.5,122
Bryan Still,1181,22,71.1,32,4.4,37.5,120
D'Wayne Bates,1061,22,73.6,32.63,4.59,37,117
Tony Simmons,998,22,72.8,33.25,4.35,36.5,117
Charles Lee,957,22,73.5,33.5,4.6,35.5,125
Quinton Patton,880,22,72.0,32.78,4.53,33,118
Jacoby Ford,848,22,68.88,30.5,4.22,33.5,115
Stedman Bailey,843,22,70.25,32.68,4.52,34.5,117
Auden Tate,799,22,76.88,33.75,4.68,31,112
Denzel Mims,676,22,74.88,33.88,4.38,38.5,131
Tutu Atwell,596,22,68.1,30.75,4.51,32.5,117
Greg Dortch,482,22,67.13,29.25,4.59,33,109
Demarcus Robinson,2137,21,73.38,33,4.59,34.5,123
Phillip Dorsett,2001,21,69.75,30.25,4.33,37,122
Dexter McCluster,1541,21,68.75,29.25,4.53,37.5,118
Tajae Sharpe,1397,21,74.0,32.25,4.55,33.5,114
Geronimo Allison,1045,21,75.25,32.88,4.67,33,127
Jauan Jennings,698,21,75.13,31.63,4.72,29,119
Isaiah Ford,681,21,73.25,32.63,4.61,35.5,127
Robert Foster,642,21,73.63,32.13,4.41,31,116
Kevin Lockett,1738,20,71.9,33.25,4.57,36.5,121
Freddie Mitchell,1263,20,71.4,31,4.47,39.5,120
Austin Pettis,1034,20,74.63,31.75,4.56,33.5,120
Dezmon Briscoe,502,20,74.0,33.5,4.66,33,115
KeeSean Johnson,360,20,73.13,32,4.6,30,117
Tavon Austin,2239,19,68.5,30.08,4.34,32,120
Jermaine Lewis,2129,19,67.4,31.38,4.47,33.5,124
Roscoe Parrish,1502,19,69.75,29.25,4.4,36,126
Devin Aromashodu,1193,19,74.5,32.75,4.4,39,120
Chansi Stuckey,1062,19,70.63,31.5,4.58,35,120
Jason Hill,1043,19,72.5,32.75,4.35,37,123
Devin Duvernay,880,19,70.5,30.63,4.39,35.5,123
Greg Ward,768,19,70.5,31.125,4.59,34.5,115
Taywan Taylor,697,19,71.0,32.63,4.5,33.5,132
Ace Sanders,539,19,67.0,29.48,4.58,32,117
Keenan Burton,425,19,72.5,34.38,4.48,38.5,125
Andre Holmes,1744,18,76.38,34,4.51,35,130
Brian Quick,1593,18,75.5,34.25,4.5,34,119
Byron Pringle,1033,18,73.13,32,4.46,33.5,120
T.J. Jones,852,18,71.63,30.625,4.48,33,117
Jarrett Boykin,731,18,73.75,32.25,4.62,36,123
Jason Tucker,565,18,73.0,32.25,4.55,37,119
Roger Lewis,513,18,72.38,32,4.57,33.5,116
Tyrone Calico,501,18,75.8,34.38,4.36,38,127
Andre Roberts,3079,17,70.88,31.5,4.4,36,120
Derek Hagan,1734,17,73.75,31.5,4.45,36,124
Aldrick Robinson,1422,17,69.63,29.5,4.35,40,126
Brice Butler,1237,17,75.25,34.5,4.37,39,129
Marcus Johnson,938,17,72.88,31.875,4.39,37,135
Jalen Reagor,799,17,70.63,31.38,4.47,42,138
Delanie Walker,796,17,73.25,32,4.55,36.5,118
Bruce Ellington,769,17,69.38,31,4.45,39.5,120
N'Keal Harry,714,17,74.88,33,4.53,38.5,122
Jason McAddley,578,17,73.5,31.13,4.5,36.5,120
Ricardo Louis,562,17,73.75,32.38,4.43,38,132
Quentin McCord,427,17,70.1,30,4.49,36.5,112
Shi Smith,400,17,69.5,31.875,4.46,36,123
Tavarres King,303,17,72.25,33.08,4.47,36.5,123
Cordarrelle Patterson,2087,16,73.88,31.68,4.42,37,128
Isaiah McKenzie,1345,16,67.25,28.875,4.42,36,123
Ryan Grant,1333,16,72.38,31,4.64,35.5,117
Legedu Naanee,1232,16,74.25,33,4.44,40,119
Laquon Treadwell,1226,16,74.0,33.38,4.64,33,117
Bennie Fowler,1101,16,73.25,32,4.52,36,125
Hank Baskett,1098,16,74.88,32.75,4.52,35,119
Braxton Berrios,1085,16,68.63,28,4.44,36,110
Arrelious Benn,990,16,73.0,32.25,4.57,37,118
Larry Foster,617,16,69.9,30,4.57,37,121
Devard Darling,578,16,73.1,32.25,4.52,37,129
Ricky Seals-Jones,430,16,76.63,33.13,4.69,28,121
Tyron Johnson,422,16,72.88,30.875,4.36,30,116
Stepfret Williams,421,16,71.9,31.75,4.59,31,120
Chad Hansen,330,16,73.75,32.13,4.53,35,119
Jaelen Strong,330,16,74.38,32.5,4.44,42,123
Mike Thomas,2162,15,73.25,31.375,4.54,36,126
DeAndre Carter,1220,15,68.5,30.625,4.48,38.5,126
Tim Carter,1090,15,71.9,32,4.34,39,124
Freddie Swain,502,15,72.0,30.63,4.46,36.5,124
Olabisi Johnson,483,15,72.5,30.75,4.51,38,124
Macey Brooks,376,15,76.6,35.13,4.65,38.5,125
Marcell Ateman,270,15,76.5,32.88,4.62,34,121
Keith Kirkwood,257,15,74.5,33.75,4.45,35,125
Andre Caldwell,1509,14,72.25,32.75,4.39,33,124
Chris Moore,1286,14,73.0,33.38,4.53,37,130
Jakeem Grant,1140,14,65.88,29.75,4.37,36.5,117
Cam Sims,804,14,75.63,33.25,4.59,34,123
Lavelle Hawkins,771,14,71.0,30.13,4.58,33.5,117
Will Blackwell,682,14,72.0,33.38,4.62,34,120
Kyle Williams,574,14,70.0,30,4.4,33,118
Josh Huff,523,14,71.25,31.25,4.51,35.5,115
T.J. Graham,472,14,71.38,32.75,4.34,33.5,120
Kevin White,397,14,74.63,32.63,4.35,36.5,123
Trent Taylor,834,13,67.63,28.75,4.63,33,117
Darrin Chiaverini,662,13,73.1,29.5,4.53,33,112
Ricardo Lockette,451,13,74.13,33.75,4.34,35.5,127
James Williams,410,13,70.9,30.5,4.6,36,123
Damion Ratley,407,13,73.75,31,4.39,38,124
Jordan Taylor,351,13,76.38,32.75,4.54,36.5,122
LaVon Brazill,347,13,70.63,32,4.43,32.5,118
Craig Yeast,321,13,67.6,29.5,4.49,32.5,112
Lil'Jordan Humphrey,315,13,75.63,32.75,4.75,33.5,119
Troy Walters,1135,12,66.5,28.5,4.55,32.5,106
Justin Hardy,946,12,70.25,32.13,4.56,36.5,114
Keshawn Martin,685,12,71.5,31.5,4.42,39.5,122
Bethel Johnson,606,12,71.0,31.25,4.37,38.5,127
Sammie Coates,528,12,73.38,33.38,4.43,41,131
Chris Doering,476,12,75.5,31.75,4.87,30.5,118
Tandon Doss,428,12,74.0,31.25,4.56,33.5,116
Jeff Webb,382,12,74.13,32.25,4.43,37,126
David Clowney,341,12,72.25,31.75,4.39,32.5,123
Michael Campanaro,310,12,69.38,30,4.46,39,122
Braxton Miller,261,12,73.38,31.75,4.5,35,123
David Anderson,595,11,70.5,29.88,4.6,34,116
Andy Isabella,426,11,68.75,29.75,4.31,36.5,121
Jeff Smith,426,11,72.0,31.5,4.36,36.5,127
Nate Poole,418,11,73.5,32.5,4.8,32.5,112
Jerrel Jernigan,391,11,68.88,32,4.46,37.5,117
Wane McGarity,363,11,68.0,30,4.53,33,111
Chris Owusu,296,11,72.13,31.75,4.31,40.5,129
Jonathan Carter,266,11,71.6,33,4.4,42.5,134
Devin Smith,248,11,72.38,31,4.42,39,122
Chad Williams,202,11,72.5,32,4.43,35.5,123
Trent Sherfield,844,10,72.25,31.875,4.45,32.5,125
Ty Montgomery,598,10,71.88,31,4.55,40.5,121
Justin Watson,573,10,74.38,33.75,4.44,40,124
Dane Sanzenbacher,449,10,71.38,30.5,4.56,33.5,118
Corey Fuller,288,10,74.25,33.28,4.43,31.5,120
DeVier Posey,272,10,73.63,31.63,4.39,36.5,123
James Roe,239,10,72.6,33.88,4.66,38.5,132
Alvis Whitted,1030,9,71.5,33.63,4.5,34.5,128
Dwayne Harris,874,9,70.38,31.13,4.53,34,111
Maurice Stovall,668,9,76.38,33.75,4.59,35,122
Jake Kumerow,436,9,76.5,31.875,4.54,31,113
Robert Wilson,431,9,70.8,32.25,4.82,31.5,108
Brandon Powell,354,9,68.0,29.25,4.59,32,115
Chris Harper,278,9,72.75,32.68,4.55,35.5,116
Neal Sterling,239,9,75.38,33.125,4.63,35.5,116
Juwan Johnson,198,9,76.0,34.25,4.58,33,124
Terrance Copper,1018,8,71.9,30.63,4.51,35.5,116
Brad Smith,960,8,74.13,33.5,4.51,39.5,128
Sam Aiken,684,8,73.9,31.25,4.64,39.5,121
Devin Thomas,482,8,73.88,32.88,4.43,28,126
Miles Boykin,481,8,75.75,33.5,4.42,43.5,140
Ashton Dulin,450,8,73.38,33.38,4.43,38,121
Na Brown,363,8,72.6,30.63,4.56,30.5,110
Jammi German,294,8,72.5,33.5,4.53,39.5,122
Javon Wims,266,8,74.88,31.5,4.53,33.5,113
Larry Parker,240,8,72.9,32.5,4.49,35.5,118
Aundrae Allison,231,8,72.25,32.25,4.42,37,127
Darren Waller,178,8,78.13,33.25,4.46,37,125
Pharoh Cooper,545,7,71.13,32.25,4.65,31,115
Cody Core,388,7,74.63,32,4.47,31.5,119
Ryan Switzer,321,7,68.5,28,4.51,32,116
Mike Davis,299,7,72.0,30.25,4.52,34,116
Kevin Kasper,287,7,72.0,30.5,4.44,43.5,126
Junior Hemingway,233,7,72.88,32.5,4.48,35.5,124
A.J. Jenkins,223,7,72.25,32.75,4.37,38.5,124
Keith Mumphery,198,7,71.63,31.13,4.54,32.5,121
Cameron Batson,197,7,68.25,28.875,4.35,39,124
Rashad Greene,185,7,71.38,31.63,4.53,36.5,122
Jared Abbrederis,163,7,73.0,31.38,4.5,30.5,116
Stephen Burton,149,7,73.38,32,4.5,34.5,117
D.J. Foster,142,7,70.25,30.5,4.57,35.5,117
Courtney Taylor,136,7,73.75,32.25,4.52,36,122
Reggie Barlow,522,6,71.3,33.13,4.59,32.5,115
Seyi Ajirotutu,424,6,75.38,32.63,4.6,36,115
Eddie Berlin,379,6,71.4,30.5,4.44,39.5,122
Niles Paul,353,6,72.88,31,4.45,34.5,117
Courtney Roby,343,6,72.13,31.38,4.41,36.5,125
Charone Peake,214,6,74.38,34,4.45,35.5,122
Lestar Jean,186,6,75.0,33,4.61,37.5,113
Chris Cole,164,6,72.1,32.5,4.37,37.5,125
Damon Griffin,137,6,69.1,30.13,4.68,36,113
Andrae Thurman,104,6,71.3,30.88,4.53,34.5,121
Kassim Osgood,766,5,76.9,33,4.7,31,122
Johnny Holton,273,5,72.63,32.88,4.54,31.5,123
Alex Van Dyke,219,5,71.9,32.13,4.57,33,120
Trevor Davis,205,5,73.13,31,4.42,38.5,124
Leonte Carroo,192,5,71.88,31.38,4.5,35.5,120
Mark Harris,186,5,75.3,31.5,4.84,31,110
Scottie Montgomery,160,5,72.4,31,4.58,36,117
Ron Johnson,126,5,74.5,32,4.7,34.5,116
Brandon Williams,121,5,69.38,29.38,4.5,34.5,115
Tab Perry,109,5,74.5,32.5,4.48,34,116
Stephen Williams,101,5,76.5,33.25,4.5,36.5,125
Karsten Bailey,88,5,71.8,31,4.33,40,121
Denard Robinson,186,4,70.5,32.58,4.43,36.5,123
Dameane Douglas,165,4,71.9,29.75,4.7,31.5,119
Devin Street,152,4,74.88,33.38,4.55,37,123
Jaydon Mickens,145,4,69.88,28.875,4.54,35.5,121
Jeff Maehl,113,4,72.88,31.5,4.56,33.5,115
Todd Watkins,90,4,74.38,31.25,4.43,36,118
Mike Strachan,85,4,77.38,34.25,4.54,35,127
Mardy Gilyard,78,4,71.88,32.25,4.61,39,116
Jeff Janis,200,3,74.88,32.5,4.42,37.5,123
Yamon Figurs,103,3,71.25,32.5,4.34,32.5,123
Josh Malone,91,3,74.63,31.38,4.4,30.5,121
Tyrie Cleveland,91,3,74.0,32.88,4.46,39.5,126
Chris Davis,72,3,70.25,30,4.51,35.5,115
Limas Sweed,69,3,75.88,32.5,4.56,35,128
Alex Bannister,121,2,76.6,32,4.5,30.5,110
Penny Hart,82,2,68.0,31,4.63,33.5,111
Marcus Easley,71,2,74.75,32.75,4.39,34,123
Shelton Gibson,59,2,71.13,32,4.5,32,118
Tylan Wallace,56,2,71.38,30.375,4.5,33,112
Talman Gardner,52,2,72.6,30.25,4.47,34.5,116
David Reed,68,1,72.13,31.75,4.56,37,114
Adam Jennings,62,1,69.13,28.38,4.46,37.5,118
Geremy Davis,59,1,74.38,32.25,4.58,36.5,124
Darius Reynaud,39,1,69.25,31,4.52,34.5,130
Tony Horne,32,1,69.8,32.5,4.66,33,112
Tim Jones,30,1,72.75,31.375,4.47,40,124
Jehu Chesson,25,1,74.75,33.25,4.47,35.5,132
Brandon Banks,35,0,66.75,30,4.43,31,113
Keenan Howry,18,0,69.6,29.25,4.62,31.5,114
Justin Hardee,10,0,72.63,32.25,4.36,34.5,129
Isaiah Burse,0,0,70.38,30.25,4.58,31,114
Vince Mayle,0,0,74.0,31.75,4.67,35.5,117
